物件名,表示,フォルダ,掲載日,棟数,戸数,価格,価格メモ,収入,利回り,利回りメモ,所在地1,所在地2,緯度経度,タイプ,交通,建物面積,構造,間取り,竣工日,土地面積,土地権利,地目,都市計画,用途地域,建ぺい率,容積率,接道方向,接道幅員,ガス,水道,汚水,現況,引渡,備考,,
小牧市小牧口駅,,201117削除,komaki_komakiguchi,,,,,32949400,,円,,10,,小牧市常普請二丁目,,,メゾネット賃貸（1棟4戸）,,,,,,,,,,,,,,,,,,,
プラッサムコート小路,表示,koji,2019-03-04,3,10,6180,,8664480,14.02,,愛知県あま市小路一丁目,2番5他,"35.207433, 136.814447",メゾネット賃貸（3棟10戸）,名鉄津島線「七宝」駅徒歩約24分,243.42㎡、176.46㎡、201.66㎡,木造,2LDK,2007-10-15,1049.00㎡(317.32坪）,一般定期借地権,宅地,市街化区域,一種低層,60％,100％,西、南,6.0m,LPG,公営水道,浄化槽,入居中,相談,"・別途諸費用（管理料、共用部電気代等）がかかります。
・建物は2筆にまたがって存在し、それぞれの土地の所有者は異なります。借地権の譲渡には・借地期間は2006年11月1日から2057年6月30日までです。
・土地の保証金（140万円・159万円）が別途必要です。",,
プラッサムコート森本,非表示,morimoto,2017-10-23,2,9,5455,,7224720,13.24,,愛知県一宮市森本一丁目,30番9,,メゾネット賃貸（2棟9戸）,名鉄名古屋本線「妙興寺」駅徒歩約28分,300.58㎡、233.4㎡,木造,2LDK,2006-05-20,846.41㎡,譲渡特約付借地権,宅地,市街化区域,一種低層,60％,100％,南,6.0m,LPG,公営水道,下水,上物有,相談,"・別途諸費用（管理料、共用部電気代等）がかかります。
・借地権の譲渡には、土地所有者の承諾が必要です。
・借地期間は2006年5月1日から2056年10月31日までです。
・土地の保証金（200万円）が別途必要です。
【建物譲渡特約】
借地契約期間の起算日（2006年5月1日）から30年を経過した日以降、土地所有者は建物の売買予約完結権を行使することができる。その際の譲渡価額は、税務上の耐用年数に基づき残価率10％の定額法で減価償却した価額とする。",,
東区矢田｜西棟,非表示,higashiku_yada_west,2018-12-12,1,2,2473,,2196960,8.88,,名古屋市東区矢田5丁目,9-21付近,"35.192182, 136.944274",メゾネット賃貸（1棟2戸）,地下鉄名城線「ナゴヤドーム前矢田」駅徒歩約2分（約150m）,89.42㎡(27.04坪),,1LDK,新築,119.65㎡(36.19坪),一般定期借地権(賃貸権),宅地,,準工業地域,60％,200％,西,7.2m,LPG,公営水道,下水,,相談,"●土地の権利形態／一般定期借地権(賃貸権)：平成30年10月1日から50年間※借地権の譲渡、転貸可能ただし土地所有者の承諾が必要です。（承諾料不要）
●更新／無し※期間の延長もありません。
●保証金／150万円
●権利金／100万円
●地代（月額賃料）／38,000円
●地代（月額賃料）3年毎に改定あり
●登記／土地に一定期借地権設定登記可能
●期間満了寺には更地にして返還
●取引形態／土地（借地権代理：株式会社ブルーボックス）
●取引形態／建物（仲介：株式会社ブルーボックス）
●当現地は太陽光発電設備は付いていません。",,
プラッサムコート伝法寺Ⅱ,非表示,denpoji2,2018-03-27,1,4,4339,,3924600,9.04,,愛知県一宮市伝法寺六丁目,3番21,,メゾネット賃貸（1棟4戸）,JR東海道本線「稲沢」駅徒歩約34分,364.8㎡,木造,2LDK,新築,301.00㎡（91.05坪）,一般定期借地権,畑,市街化区域,一種住居,60％,200％,南,5.0m,LPG,公営水道,下水,コンテナ有,相談,"・別途諸費用（管理料、共用部電気代等）がかかります。
・建築請負契約を締結後、土地所有者と一般定期借地権設定契約を締結します。
・借地期間は50年間です。中途解約も可能です。
・土地の保証金（120万円）が別途必要です。
・パネル設置容量および売電収入は概算です。",,
プラッサムコート八剱町,表示,yatsurugicho,2019-03-04,1,5,6128,,,5069784,,8.27,,岩倉市八剱町岩塚,87番,"35.300628, 136.878988",メゾネット賃貸（1棟5戸）,名鉄犬山線「石仏」駅徒歩15分,337.33㎡,木造,2LDK,建築中,499.00㎡（150.95坪）,一般定期借地権,畑,市街化調整区域,指定無し,60％,200％,南,4.0m,LPG,公営水道,下水,雑種地,相談,"・本土地は市街化調整区域に位置しますが、都市計画法34条11号の指定により、建築が認められています。
・別途諸費用（管理料、共用部電気代等）がかかります。
・建築請負契約を締結後、土地所有者と一般定期借地権設定契約を締結します。
・借地期間は50年間です。中途解約も可能です。
・土地の保証金（120万円）が別途必要です。
・パネル設置容量および売電収入は概算です。
・ペット仕様＋浴室乾燥機付です。"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
